cauhoi,cautraloi
Câu hỏi 10: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 11: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 12: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 13: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 14: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 15: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 16: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 17: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 18: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 19: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 20: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 21: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 22: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 23: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 24: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 25: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 26: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 27: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 28: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 29: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 30: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 31: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 32: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 33: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 34: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 35: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 36: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 37: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 38: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 39: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 40: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 41: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 42: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 43: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 44: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 45: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 46: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 47: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 48: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 49: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 50: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 51: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 52: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 53: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 54: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 55: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 56: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 57: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 58: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 59: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 60: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 61: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 62: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 63: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 64: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 65: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 66: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 67: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 68: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 69: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 70: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 71: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 72: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 73: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 74: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 75: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 76: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 77: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 78: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 79: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 80: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 81: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 82: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 83: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 84: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 85: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 86: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 87: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 88: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 89: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 90: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 91: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 92: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 93: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 94: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 95: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 96: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 97: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 98: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 99: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
Câu hỏi 100: Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026?,Tuyển sinh lớp 10.
Câu hỏi 101: Trường THPT Marie Curie tuyển sinh bao nhiêu học sinh?,1.000 học sinh.
Câu hỏi 102: Chương trình nhà trường gồm những gì?,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú."
Câu hỏi 103: Các môn học bắt buộc là gì?,"Toán, Ngữ văn, Ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật), Lịch sử, Giáo dục thể chất, Giáo dục quốc phòng và an ninh, Giáo dục địa phương, Hoạt động trải nghiệm - hướng nghiệp."
Câu hỏi 104: Trường có bao nhiêu nhóm môn học lựa chọn?,7 nhóm.
Câu hỏi 105: Nhóm 1 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Tin học."
Câu hỏi 106: Nhóm 2 gồm những môn gì?,"Vật lí, Hóa học, Sinh học, Công nghệ."
Câu hỏi 107: Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh."
Câu hỏi 108: Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ."
Câu hỏi 109: Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước."
